               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.015742,           0.0047074,           0.0090235,             0.98025,                   1,               0.995,              0.9323,            0.010025,           0.0017638,           0.0019941,           0.0029177,           0.0029177,           0.0029177
                  95,            0.015495,           0.0049715,           0.0076184,             0.97987,                   1,               0.995,             0.91396,            0.010649,           0.0018739,           0.0020097,           0.0028415,           0.0028415,           0.0028415
                  96,            0.015997,           0.0051167,           0.0086785,             0.98029,                   1,               0.995,             0.93203,            0.010395,           0.0017203,           0.0019576,           0.0027654,           0.0027654,           0.0027654
                  97,            0.015199,           0.0046486,           0.0073695,              0.9827,                   1,               0.995,             0.92238,           0.0099767,           0.0018864,           0.0019674,           0.0026892,           0.0026892,           0.0026892
                  98,            0.015611,           0.0049866,           0.0076677,             0.98117,                   1,               0.995,             0.90595,            0.010392,           0.0019582,           0.0018952,           0.0026131,           0.0026131,           0.0026131
                  99,            0.014988,           0.0048432,           0.0076734,             0.98487,                   1,               0.995,             0.92728,            0.010279,            0.001859,           0.0018539,           0.0025369,           0.0025369,           0.0025369
                 100,            0.015312,           0.0049768,           0.0069568,             0.98411,                   1,               0.995,             0.92076,            0.010184,           0.0018566,           0.0018351,           0.0024608,           0.0024608,           0.0024608
                 101,            0.014946,           0.0048144,           0.0086905,             0.97065,             0.98127,               0.995,             0.91789,            0.010154,           0.0018917,           0.0020895,           0.0023846,           0.0023846,           0.0023846
                 102,            0.014634,           0.0045435,            0.007423,             0.97717,                   1,               0.995,             0.90975,           0.0096254,           0.0018065,           0.0018265,           0.0023085,           0.0023085,           0.0023085
                 103,            0.014281,           0.0048357,           0.0072528,             0.98496,                   1,               0.995,             0.90928,            0.010237,           0.0018887,            0.001663,           0.0022323,           0.0022323,           0.0022323
